wins_life_expectancy,wins_infant_deaths,wins_alcohol,wins_measles,wins_bmi,wins_polio,wins_total_expenditure,wins_hiv_aids,wins_thinness_5_to_9_years,wins_schooling,status
73.5,1,5.16,6,49.9,97.0,6.12,0.1,1.8,10.8,1
73.0,1,4.54,7,48.9,98.0,6.38,0.1,1.9,10.9,1
72.8,1,4.29,8,47.9,97.0,6.27,0.1,2.0,10.7,1
73.3,1,3.73,16,46.9,98.0,6.3,0.1,2.1,10.7,1
73.6,1,4.25,18,46.0,97.0,6.0,0.1,2.1,10.6,1
72.6,1,3.66,662,45.0,97.0,6.26,0.1,2.2,10.7,1
75.4,21,0.01,0,58.4,95.0,7.21,0.1,5.8,14.4,1
75.3,21,0.53,25,57.2,95.0,7.12,0.1,5.8,14.4,1
75.1,21,0.66,18,56.1,95.0,6.14,0.1,5.8,14.4,1
74.9,21,0.56,112,55.0,95.0,5.29,0.1,5.8,14.0,1
74.7,21,0.45,103,53.9,95.0,5.12,0.1,5.8,13.6,1
74.4,20,0.5,107,52.8,94.0,5.36,0.1,5.9,13.1,1
74.1,20,0.46,217,51.8,92.0,4.2,0.1,5.9,12.6,1
73.8,20,0.44,0,5.8,95.0,3.82,0.1,5.9,12.3,1
73.4,20,0.36,786,49.8,95.0,3.36,0.1,6.0,12.3,1
72.9,19,0.5,786,48.9,88.0,3.24,0.1,6.0,12.0,1
72.3,19,0.45,786,47.9,86.0,3.54,0.1,6.1,11.7,1
71.7,20,0.34,786,47.0,87.0,3.6,0.1,6.1,11.5,1
71.6,20,0.36,786,46.1,86.0,3.73,0.1,6.2,11.1,1
71.4,20,0.23,786,45.3,89.0,3.84,0.1,6.3,10.9,1
71.3,21,0.25,0,44.4,86.0,3.49,0.1,6.4,10.7,1
51.7,46,8.33,786,22.7,68.0,3.31,1.5,8.3,11.4,1
51.1,46,8.1,786,22.1,67.0,4.26,1.5,8.5,11.4,1
56.0,46,8.24,786,21.5,75.0,3.3,1.5,8.6,10.3,1
51.0,46,8.06,786,21.0,73.0,3.38,1.5,8.8,9.4,1
49.6,46,7.8,786,2.4,81.0,3.39,1.5,9.0,9.0,1
49.1,46,7.01,786,19.8,63.0,4.37,1.5,9.2,8.5,1
48.7,46,7.07,265,19.3,65.0,3.84,1.5,9.4,8.1,1
48.2,46,6.35,786,18.8,75.0,3.38,1.5,9.6,7.7,1
47.7,46,5.84,765,18.2,51.0,4.54,1.5,9.7,7.2,1
47.4,46,5.04,258,17.7,51.0,4.1,1.5,9.9,6.8,1
47.1,46,3.53,29,17.2,51.0,4.71,1.5,1.1,6.4,1
46.8,46,3.49,786,16.8,51.0,4.41,1.5,1.3,5.9,1
46.7,46,2.82,786,16.3,51.0,3.63,1.5,1.5,5.5,1
46.7,46,2.58,786,15.8,51.0,5.38,1.5,1.7,5.1,1
46.7,46,1.85,786,15.4,51.0,2.79,1.5,1.9,4.8,1
76.2,0,8.56,0,47.0,96.0,5.54,0.2,3.3,13.9,1
76.1,0,8.58,0,46.4,98.0,5.33,0.2,3.3,13.9,1
75.9,0,8.18,0,45.7,97.0,5.39,0.2,3.3,13.8,1
75.7,0,7.84,0,45.1,99.0,5.65,0.1,3.3,14.1,1
75.6,0,7.84,0,44.4,99.0,5.63,0.1,3.3,14.1,1
75.4,0,7.82,0,43.8,98.0,4.86,0.1,3.3,14.2,1
75.2,0,8.27,0,43.2,99.0,4.69,0.1,3.3,14.4,1
75.0,0,8.64,0,42.6,98.0,4.27,0.1,3.3,14.5,1
74.8,0,8.93,0,42.0,99.0,4.34,0.1,3.4,14.7,1
74.6,0,8.15,0,41.4,98.0,4.41,0.1,3.4,4.8,1
74.4,0,7.28,0,4.8,97.0,4.21,0.1,3.4,4.8,1
74.2,0,7.16,0,4.1,99.0,4.53,0.1,3.5,4.8,1
74.0,0,7.21,0,39.5,93.0,4.41,0.1,3.5,4.8,1
73.8,0,7.51,0,38.9,99.0,4.48,0.1,3.5,4.8,1
73.6,0,7.27,0,38.2,96.0,4.13,0.1,3.6,4.8,1
76.2,8,7.93,1,62.2,92.0,4.79,0.1,0.9,17.3,1
76.0,8,8.28,0,61.6,99.0,4.99,0.1,0.9,17.3,1
75.9,9,8.35,2,61.0,99.0,5.2,0.1,0.9,17.2,1
75.7,9,8.11,3,6.4,93.0,5.89,0.1,0.9,17.1,1
75.5,10,8.15,17,59.8,95.0,6.55,0.1,0.9,16.8,1
75.6,10,8.33,3,59.2,97.0,7.63,0.1,0.9,16.5,1
75.4,10,8.41,0,58.6,94.0,6.66,0.1,0.9,16.3,1
74.8,10,8.16,0,58.0,92.0,6.49,0.1,0.9,16.3,1
75.2,11,7.75,0,57.5,92.0,6.68,0.1,0.9,16.1,1
74.9,11,7.53,0,56.9,95.0,6.85,0.1,1.0,16.3,1
74.7,11,7.63,0,56.3,91.0,6.84,0.1,1.0,16.3,1
74.1,11,7.62,0,55.7,95.0,8.22,0.1,1.0,16.4,1
74.1,12,7.81,0,55.1,94.0,8.31,0.1,1.0,16.3,1
74.0,12,7.76,0,54.6,85.0,9.38,0.1,1.1,15.6,1
74.1,12,7.68,6,54.0,88.0,9.21,0.1,1.1,15.0,1
74.6,1,3.91,13,54.1,95.0,4.48,0.1,2.1,12.7,1
74.4,1,3.79,10,53.3,96.0,4.55,0.1,2.1,12.7,1
74.4,1,3.89,0,52.6,96.0,4.48,0.1,2.1,12.7,1
73.9,1,4.09,0,51.9,96.0,3.71,0.1,2.1,12.7,1
73.5,1,4.23,2,51.2,96.0,4.56,0.1,2.1,12.3,1
73.3,1,3.96,0,5.7,94.0,4.55,0.1,2.1,11.9,1
73.2,1,3.96,0,5.1,91.0,3.8,0.1,2.1,12.3,1
73.5,1,3.99,1,49.7,51.0,4.31,0.1,2.1,11.7,1
72.9,1,4.01,137,49.2,87.0,4.58,0.1,2.1,11.2,1
73.0,1,4.25,786,48.8,92.0,5.25,0.1,2.1,10.9,1
73.0,1,3.81,786,48.4,93.0,5.5,0.1,2.1,10.9,1
72.7,1,3.03,4,48.1,96.0,5.56,0.1,2.1,10.8,1
72.6,1,2.86,40,47.8,96.0,5.4,0.1,2.1,10.8,1
72.6,1,2.86,69,47.4,97.0,5.94,0.1,2.1,11.1,1
72.0,1,2.9,15,47.1,96.0,6.25,0.1,2.2,11.2,1
82.7,1,9.71,340,66.1,92.0,9.42,0.1,0.6,19.0,0
82.5,1,9.87,158,65.5,91.0,9.36,0.1,0.6,19.0,0
82.3,1,10.03,199,65.0,92.0,9.36,0.1,0.6,19.0,0
82.0,1,10.3,190,64.4,92.0,9.2,0.1,0.6,19.0,0
81.9,1,10.52,70,63.9,92.0,9.2,0.1,0.6,19.0,0
81.7,1,10.62,104,63.4,92.0,9.5,0.1,0.6,19.0,0
81.3,1,10.76,65,62.9,92.0,8.78,0.1,0.6,19.0,0
81.3,1,10.56,11,62.5,92.0,8.53,0.1,0.6,19.0,0
81.2,1,10.31,0,62.0,92.0,8.49,0.1,0.6,19.0,0
81.0,1,10.3,10,61.5,92.0,8.45,0.1,0.6,19.0,0
86.0,1,9.84,70,6.9,92.0,8.57,0.1,0.6,19.0,0
83.0,1,9.97,91,6.3,92.0,8.32,0.1,0.7,19.0,0
79.9,1,9.84,32,59.6,92.0,8.39,0.1,0.7,19.0,0
79.9,1,9.53,141,59.0,91.0,8.18,0.1,0.7,19.0,0
79.5,1,10.17,108,58.2,51.0,8.8,0.1,0.7,19.0,0
81.4,0,12.32,117,57.1,98.0,11.21,0.1,2.0,15.9,0
81.1,0,11.82,0,56.6,95.0,11.14,0.1,2.0,15.7,0
88.0,0,12.26,36,56.1,92.0,11.17,0.1,2.0,15.7,0
88.0,0,12.04,68,55.7,89.0,1.94,0.1,2.0,15.7,0
84.0,0,12.1,52,55.2,86.0,11.17,0.1,1.9,15.4,0
82.0,0,11.3,49,54.7,83.0,11.19,0.1,1.9,15.3,0
84.0,0,12.0,448,54.2,83.0,1.6,0.1,1.9,15.1,0
81.0,0,12.5,20,53.7,85.0,1.4,0.1,1.9,15.2,0
79.8,0,12.4,23,53.2,83.0,1.35,0.1,1.9,15.0,0
79.4,0,12.4,9,52.7,86.0,1.53,0.1,1.9,14.9,0
79.3,0,12.1,15,52.2,83.0,1.56,0.1,1.9,14.7,0
78.8,0,12.2,90,51.7,84.0,1.48,0.1,1.9,14.7,0
78.7,0,12.5,0,51.2,82.0,1.27,0.1,1.9,16.1,0
78.6,0,12.4,0,5.6,83.0,1.12,0.1,1.9,15.5,0
78.1,0,13.2,0,5.1,71.0,1.6,0.1,1.9,15.4,0
72.5,5,0.01,0,51.5,97.0,6.4,0.1,2.9,12.2,1
72.2,5,2.14,164,5.6,96.0,5.54,0.1,2.8,11.9,1
71.9,5,0.01,0,49.7,92.0,5.37,0.1,2.8,11.8,1
71.6,5,1.98,0,48.8,91.0,5.1,0.1,2.9,11.7,1
71.1,5,1.98,0,48.0,85.0,5.33,0.1,2.9,11.7,1
78.0,6,2.1,0,47.3,84.0,5.85,0.1,2.9,11.6,1
73.0,6,1.18,5,46.6,85.0,4.37,0.1,2.9,11.6,1
73.0,6,1.02,0,45.9,81.0,5.1,0.1,2.9,11.6,1
69.2,6,0.85,222,45.3,51.0,6.17,0.1,2.9,10.7,1
68.4,6,0.73,786,44.7,79.0,7.86,0.1,3.0,11.2,1
68.4,6,0.62,786,44.2,78.0,7.92,0.1,3.0,11.0,1
67.8,7,0.55,786,43.6,79.0,6.56,0.1,3.0,10.8,1
67.8,7,0.55,786,43.1,51.0,4.47,0.1,3.1,10.6,1
67.5,8,0.51,574,42.6,77.0,4.48,0.1,3.1,10.4,1
66.6,9,0.65,210,42.1,75.0,4.67,0.1,3.1,10.1,1
75.4,0,9.45,0,63.8,96.0,7.74,0.1,2.5,12.6,1
74.8,0,9.42,0,63.2,97.0,7.5,0.1,2.5,12.6,1
74.9,0,9.5,0,62.6,99.0,7.43,0.2,2.5,12.6,1
75.0,0,9.34,0,62.0,97.0,7.63,0.1,2.5,12.6,1
75.0,0,9.19,0,61.3,97.0,7.44,0.2,2.5,12.6,1
74.6,0,9.29,0,6.7,97.0,7.43,0.1,2.5,12.6,1
74.5,0,10.15,0,6.1,93.0,7.3,0.1,2.5,12.6,1
74.4,0,10.75,0,59.4,95.0,7.8,0.1,2.5,12.5,1
74.2,0,11.07,0,58.7,94.0,6.93,0.1,2.5,12.4,1
74.1,0,10.49,0,58.1,93.0,5.95,0.1,2.5,12.4,1
73.8,0,10.1,0,57.4,92.0,6.2,0.1,2.5,12.3,1
73.2,0,10.68,0,56.7,93.0,5.62,0.1,2.5,12.2,1
73.1,0,10.85,0,56.0,93.0,5.26,0.1,2.6,12.1,1
72.9,0,11.64,0,55.2,98.0,5.15,0.2,2.6,12.1,1
72.6,0,12.15,0,54.4,91.0,5.21,0.1,2.6,12.0,1
76.8,0,1.57,46,62.9,98.0,4.98,0.1,6.0,14.5,1
76.7,0,1.65,0,62.2,99.0,4.69,0.1,6.0,14.5,1
76.5,0,1.7,0,61.5,99.0,4.37,0.1,6.0,14.5,1
76.1,0,1.66,0,6.8,99.0,3.4,0.1,6.0,14.4,1
76.1,0,1.93,0,6.1,99.0,3.64,0.1,5.9,14.4,1
76.0,0,1.95,3,59.3,97.0,3.79,0.1,5.9,14.4,1
75.8,0,2.0,2,58.5,97.0,3.17,0.1,5.9,14.4,1
75.6,0,2.0,7,57.6,97.0,3.8,0.1,5.9,14.4,1
75.5,0,2.1,3,56.8,98.0,3.8,0.1,5.9,14.2,1
75.3,0,2.05,4,56.1,98.0,3.16,0.1,5.9,14.0,1
75.2,0,2.16,11,55.6,98.0,3.37,0.1,5.9,13.9,1
75.0,0,2.16,12,55.2,97.0,3.74,0.1,5.9,13.7,1
74.9,0,1.99,8,55.0,98.0,3.89,0.1,5.9,13.5,1
74.7,0,1.95,5,54.8,99.0,3.8,0.1,6.0,13.3,1
74.5,0,2.15,6,54.5,97.0,3.51,0.1,6.0,13.2,1
71.4,46,0.01,289,17.7,97.0,2.82,0.1,15.4,10.0,1
71.0,46,0.01,237,17.0,96.0,2.88,0.1,15.4,10.0,1
77.0,46,0.01,786,16.4,94.0,3.8,0.1,15.4,9.9,1
73.0,46,0.01,786,15.8,96.0,3.16,0.1,15.4,9.4,1
69.9,46,0.01,786,15.2,94.0,3.6,0.1,15.4,8.9,1
69.5,46,0.01,718,14.6,97.0,2.91,0.1,15.4,8.4,1
69.1,46,0.01,786,14.0,96.0,2.85,0.1,15.4,8.6,1
68.6,46,0.01,786,13.5,96.0,2.8,0.1,2.1,8.6,1
68.2,46,0.01,786,13.0,95.0,2.8,0.1,2.3,8.4,1
67.8,46,0.01,786,12.5,94.0,2.68,0.1,2.5,8.2,1
67.3,46,0.01,786,12.0,88.0,2.62,0.1,2.7,8.1,1
66.8,46,0.01,786,11.6,51.0,2.51,0.1,2.9,7.9,1
66.3,46,0.01,786,11.2,83.0,2.59,0.1,15.4,7.7,1
65.8,46,0.01,786,1.8,85.0,2.47,0.1,15.4,7.5,1
65.3,46,0.01,786,1.4,83.0,2.33,0.1,15.4,7.3,1
75.4,0,8.82,0,53.7,95.0,7.47,0.1,3.7,15.3,1
75.2,0,8.74,0,53.0,91.0,7.57,0.1,3.8,15.3,1
75.1,0,8.61,0,52.2,88.0,7.43,0.1,3.8,15.3,1
74.9,0,8.51,0,51.4,91.0,6.67,0.1,3.8,15.5,1
74.7,0,8.41,0,5.7,51.0,6.17,0.1,3.8,15.8,1
74.6,0,8.46,0,49.9,93.0,6.21,0.1,3.8,15.5,1
74.4,0,8.95,0,49.2,85.0,6.1,0.1,3.9,15.3,1
74.2,0,8.47,0,48.4,93.0,5.64,0.1,3.9,15.0,1
74.1,0,8.39,0,47.7,85.0,5.27,0.1,3.9,14.8,1
73.9,0,8.01,0,46.9,91.0,5.38,0.1,4.0,14.6,1
73.8,0,7.68,0,46.2,93.0,5.71,0.2,4.0,14.4,1
73.7,0,7.65,0,45.4,51.0,5.82,0.4,4.1,14.2,1
73.5,0,7.59,0,44.6,86.0,5.76,0.8,4.1,14.0,1
73.4,0,7.38,0,43.8,93.0,5.47,0.7,4.2,14.0,1
73.3,0,7.43,0,43.0,86.0,5.16,0.9,4.2,14.0,1
72.0,0,13.63,64,61.7,97.0,5.69,0.1,2.0,15.7,1
71.7,0,13.63,16,61.1,98.0,6.7,0.1,2.0,15.7,1
71.9,0,13.63,10,6.5,98.0,5.1,0.1,2.1,15.6,1
72.0,0,13.63,50,59.9,98.0,4.92,0.1,2.1,15.5,1
73.0,0,13.63,1,59.3,99.0,5.55,0.1,2.2,15.5,1
70.0,0,13.63,0,58.7,98.0,6.9,0.1,2.2,15.4,1
70.0,1,13.63,0,58.2,98.0,5.95,0.1,2.3,15.1,1
69.8,1,13.63,1,57.7,51.0,6.44,0.1,2.3,14.9,1
68.9,1,12.6,149,57.2,97.0,6.34,0.1,2.4,14.6,1
68.1,1,11.01,1,56.7,98.0,6.89,0.1,2.5,14.4,1
68.2,1,12.05,2,56.2,99.0,6.59,0.1,2.5,14.1,1
67.7,1,11.17,21,55.8,53.0,6.59,0.1,2.6,13.9,1
67.2,1,12.23,14,55.3,99.0,6.47,0.1,2.7,13.6,1
67.7,1,10.74,45,54.9,99.0,6.62,0.1,2.7,13.3,1
68.0,1,12.98,21,54.4,99.0,6.13,0.1,2.8,13.1,1
89.0,0,12.6,70,63.4,99.0,1.59,0.1,1.0,16.3,0
87.0,0,11.77,39,63.0,99.0,1.57,0.1,0.9,16.3,0
83.0,0,10.08,109,62.6,99.0,1.54,0.1,0.9,16.2,0
83.0,0,10.11,576,62.3,98.0,1.42,0.1,0.9,16.1,0
80.0,0,10.22,40,61.9,98.0,1.17,0.1,0.9,15.9,0
79.8,0,10.05,33,61.6,98.0,1.39,0.1,0.9,15.8,0
79.5,0,10.47,98,61.3,99.0,9.6,0.1,0.8,15.8,0
79.5,0,10.25,64,6.9,99.0,9.25,0.1,0.8,15.8,0
79.4,0,10.98,15,6.6,99.0,9.17,0.1,0.8,15.7,0
78.9,0,12.27,26,6.2,97.0,9.24,0.1,0.8,15.7,0
78.8,1,12.05,61,59.8,96.0,9.32,0.1,0.8,18.8,0
78.3,0,11.28,44,59.4,96.0,9.3,0.1,0.8,18.6,0
78.0,1,11.29,0,59.0,96.0,8.46,0.1,0.8,18.8,0
78.0,1,11.01,83,58.5,96.0,8.29,0.1,0.8,18.2,0
77.6,1,11.21,0,58.1,96.0,8.12,0.1,0.8,18.0,0
70.0,0,6.58,0,5.1,95.0,5.79,0.2,3.4,12.8,1
69.8,0,6.56,0,49.3,95.0,5.79,0.2,3.4,12.9,1
69.4,0,6.66,0,48.5,98.0,5.45,0.1,3.4,12.5,1
69.4,0,6.64,0,47.8,95.0,5.61,0.5,3.4,12.4,1
69.5,0,6.76,0,47.0,96.0,5.85,0.2,3.4,12.4,1
69.5,0,6.85,0,46.3,98.0,5.81,0.3,3.4,12.7,1
69.6,0,7.22,0,45.7,94.0,5.9,0.1,3.4,12.8,1
69.6,0,7.24,0,45.0,97.0,4.76,0.6,3.5,12.8,1
69.4,0,6.48,0,44.4,98.0,4.4,0.6,3.5,12.3,1
69.0,0,6.25,0,43.8,96.0,4.45,0.8,3.5,12.8,1
68.7,0,6.2,0,43.2,97.0,4.39,0.8,3.5,12.5,1
68.4,0,5.67,0,42.6,95.0,4.53,1.5,3.6,12.2,1
68.5,0,4.99,0,42.0,93.0,4.38,0.1,3.6,11.9,1
68.2,0,4.9,0,41.4,96.0,4.5,0.4,3.7,11.8,1
68.3,0,4.79,0,4.8,91.0,3.98,0.3,3.7,11.7,1
59.7,25,0.01,786,25.2,74.0,4.59,1.1,6.9,10.7,1
59.5,25,0.01,637,24.6,73.0,4.59,1.2,7.1,10.3,1
59.3,25,0.01,288,24.1,51.0,4.86,1.3,7.3,10.0,1
59.1,25,1.4,426,23.5,77.0,5.37,1.4,7.5,9.8,1
58.7,25,1.33,392,23.0,77.0,4.95,1.4,7.6,9.5,1
58.4,25,1.16,786,22.5,51.0,4.46,1.5,7.8,9.3,1
57.6,25,1.28,786,22.0,77.0,4.2,1.5,8.0,9.1,1
57.1,25,1.12,341,21.5,82.0,4.55,1.5,8.2,8.9,1
56.8,25,1.19,176,21.0,76.0,4.75,1.5,8.4,8.7,1
56.5,25,1.13,210,2.5,73.0,4.73,1.5,8.6,8.5,1
56.1,25,1.15,262,2.1,74.0,4.56,1.5,8.8,8.1,1
55.8,25,1.35,217,19.7,75.0,4.63,1.5,9.0,7.7,1
55.6,25,1.23,786,19.2,76.0,4.27,1.5,9.2,7.3,1
55.5,25,1.29,786,18.8,77.0,4.69,1.5,9.4,6.6,1
55.4,25,1.34,786,18.4,78.0,4.34,1.5,9.6,6.4,1
69.4,0,0.01,0,23.6,98.0,3.57,0.5,15.4,12.5,1
69.1,0,0.01,0,22.7,97.0,3.83,0.6,15.4,12.6,1
68.7,0,0.01,1,21.9,97.0,3.7,0.6,15.4,12.3,1
68.3,0,0.23,10,21.1,95.0,4.73,0.5,15.4,11.9,1
67.9,1,0.28,21,2.3,92.0,5.17,0.5,15.4,11.4,1
67.4,1,0.17,6,19.5,93.0,6.3,0.4,15.4,10.9,1
67.0,1,0.21,7,18.8,96.0,6.58,0.4,15.4,10.5,1
66.5,1,0.16,11,18.0,93.0,5.88,0.3,15.4,10.1,1
65.8,1,0.29,2,17.4,96.0,5.27,0.3,15.4,9.6,1
65.0,1,0.73,11,16.7,95.0,5.28,0.3,15.4,9.2,1
64.2,1,0.96,3,16.1,51.0,4.41,0.3,15.4,8.8,1
63.3,1,0.52,0,15.5,96.0,4.9,0.2,15.4,8.4,1
62.5,1,0.29,27,14.9,89.0,7.75,0.1,15.4,8.0,1
61.7,1,0.14,756,14.4,88.0,5.91,0.1,15.4,7.6,1
62.0,1,0.17,418,13.9,98.0,6.91,0.1,15.4,7.3,1
74.0,8,3.62,0,51.9,99.0,6.33,0.1,1.1,13.8,1
71.0,8,3.78,0,51.2,95.0,5.96,0.1,1.1,13.8,1
69.8,8,3.89,0,5.6,93.0,5.56,0.1,1.1,13.8,1
69.3,9,3.93,0,49.9,95.0,5.49,0.2,1.1,13.8,1
68.7,9,3.95,0,49.3,51.0,5.44,0.2,1.1,13.8,1
68.0,10,3.87,0,48.6,92.0,5.76,0.2,1.1,13.8,1
67.4,10,3.77,0,48.0,87.0,5.0,0.2,1.1,14.0,1
66.8,11,3.47,0,47.3,85.0,4.96,0.2,1.2,14.1,1
66.2,11,3.23,0,46.7,82.0,5.19,0.2,1.2,14.3,1
65.7,12,2.86,0,46.0,84.0,5.67,0.2,1.2,14.4,1
65.1,12,2.66,0,45.4,84.0,5.22,0.2,1.2,14.6,1
64.5,13,2.37,0,44.7,82.0,5.3,0.2,1.3,14.4,1
63.9,14,2.26,0,44.0,76.0,6.53,0.1,1.3,14.0,1
63.3,14,2.2,0,43.3,71.0,6.31,0.1,1.4,13.7,1
62.6,15,2.32,122,42.6,74.0,5.67,0.1,1.4,13.3,1
77.2,0,4.03,786,55.3,86.0,9.57,0.1,2.4,14.2,1
77.0,0,4.12,0,54.7,87.0,9.46,0.1,2.4,14.2,1
76.8,0,4.61,22,54.2,87.0,9.94,0.1,2.5,13.9,1
76.9,0,4.64,10,53.7,89.0,9.71,0.1,2.5,13.4,1
76.4,0,4.54,45,53.1,51.0,9.58,0.1,2.6,13.3,1
76.1,0,4.75,22,52.6,51.0,9.64,0.1,2.7,13.3,1
76.0,0,5.13,8,52.1,92.0,8.58,0.1,2.7,13.1,1
75.4,0,5.16,166,51.5,95.0,8.37,0.1,2.8,12.9,1
75.7,0,4.82,17,51.0,91.0,8.28,0.1,2.8,12.7,1
75.0,0,4.56,23,5.5,95.0,8.5,0.1,2.9,12.5,1
75.5,0,4.25,28,49.9,87.0,9.4,0.1,3.0,12.3,1
75.2,0,4.14,18,49.4,87.0,7.94,0.1,3.0,12.1,1
75.4,0,3.84,28,48.8,86.0,7.1,0.1,3.1,11.9,1
74.9,0,3.85,0,48.2,92.0,7.16,0.1,3.2,11.6,1
74.6,0,3.64,43,47.6,87.0,7.9,0.1,3.2,4.8,1
65.1,2,0.01,1,37.3,96.0,5.41,1.5,6.4,12.6,1
64.2,2,0.01,1,36.8,96.0,5.84,1.5,6.7,12.6,1
63.4,2,0.01,7,36.2,96.0,6.27,1.5,7.0,12.5,1
62.2,2,5.76,8,35.7,96.0,5.25,1.5,7.4,12.4,1
61.1,2,5.99,786,35.2,96.0,5.64,1.5,7.8,12.3,1
59.2,2,5.01,184,34.7,96.0,6.39,1.5,8.2,12.2,1
57.5,2,6.56,0,34.2,96.0,5.55,1.5,8.6,12.1,1
56.9,2,6.21,1,33.7,96.0,4.71,1.5,9.0,12.1,1
54.8,2,6.45,6,33.2,96.0,4.93,1.5,9.4,11.9,1
51.7,2,6.37,5,32.7,96.0,5.62,1.5,9.9,11.9,1
48.1,2,4.9,1,32.2,96.0,5.56,1.5,1.4,11.8,1
46.7,2,5.51,59,31.6,96.0,4.65,1.5,1.8,11.8,1
46.7,2,6.41,7,31.1,97.0,6.47,1.5,11.3,11.9,1
46.7,2,5.48,1,3.5,97.0,5.73,1.5,11.8,11.8,1
47.8,2,5.37,786,29.9,97.0,4.64,1.5,12.2,11.7,1
74.8,44,7.32,786,55.3,96.0,8.32,0.1,2.7,15.2,1
74.7,46,7.24,220,54.5,96.0,8.48,0.1,2.7,14.2,1
74.5,46,7.55,2,53.6,96.0,8.26,0.1,2.8,14.2,1
74.1,46,7.58,43,52.8,98.0,8.9,0.1,2.8,14.0,1
73.8,46,7.52,68,52.0,99.0,8.27,0.1,2.9,13.8,1
73.6,46,7.33,0,51.1,99.0,8.65,0.1,2.9,13.8,1
73.4,46,7.21,0,5.3,99.0,8.24,0.1,3.0,13.3,1
73.3,46,7.19,0,49.4,99.0,8.28,0.1,3.0,13.5,1
73.0,46,7.1,57,48.6,99.0,8.36,0.1,3.1,13.8,1
72.7,46,6.97,6,47.8,99.0,8.27,0.1,3.1,13.8,1
72.0,46,6.85,0,46.9,99.0,7.7,0.1,3.2,14.0,1
71.8,46,6.95,2,46.1,99.0,6.94,0.1,3.3,14.8,1
71.4,46,7.0,1,45.3,99.0,7.13,0.1,3.3,14.6,1
71.0,46,7.13,1,44.5,99.0,7.19,0.1,3.4,14.3,1
75.0,46,7.26,36,43.7,99.0,7.3,0.1,3.4,14.1,1
77.6,0,0.01,1,4.2,99.0,2.65,0.1,5.2,15.0,1
77.1,0,0.01,0,39.2,99.0,2.61,0.1,5.2,14.9,1
78.3,0,0.01,1,38.2,99.0,2.3,0.1,5.3,14.4,1
77.4,0,0.97,4,37.2,99.0,2.25,0.1,5.4,14.1,1
76.9,0,0.88,0,36.2,99.0,2.73,0.1,5.4,14.2,1
76.8,0,0.25,2,35.2,99.0,2.85,0.1,5.5,14.1,1
77.2,0,0.67,3,34.2,97.0,2.23,0.1,5.6,14.2,1
76.0,0,0.85,0,33.2,95.0,2.32,0.1,5.7,14.3,1
76.3,0,0.67,0,32.2,94.0,2.24,0.1,5.8,14.3,1
76.2,0,0.16,9,31.2,93.0,2.62,0.1,5.9,14.1,1
76.4,0,0.11,16,3.1,92.0,3.1,0.1,6.0,13.7,1
76.0,0,0.12,24,29.1,99.0,3.9,0.1,6.1,13.4,1
74.8,0,0.13,0,28.0,99.0,3.4,0.1,6.1,13.3,1
74.7,0,0.47,11,27.0,99.0,3.6,0.1,6.2,13.4,1
74.4,0,0.37,42,26.1,99.0,3.5,0.1,6.3,13.4,1
74.3,1,12.03,0,65.1,88.0,8.44,0.1,1.9,14.8,0
